round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Second,Roger Federer,6-2 6-3 6-2,2007,m,Roger Federer,Jonas Bjorkman,SUI,SWE,64%,60%,7,2,1,3,74%,52%,67%,38%,,,,,,,58%,100%,53%,29%,93,59,38,19,19,27,76%,47%
First,Roger Federer,7-5 6-0 6-4,2007,m,Roger Federer,Bjorn Phau,SUI,GER,71%,49%,7,3,1,3,70%,54%,52%,35%,,,,,,,47%,67%,56%,35%,111,75,29,16,29,32,75%,61%
quarter,Roger Federer,7-5 7-6(5) 6-4,2008,m,Roger Federer,James Blake,SUI,USA,68%,58%,13,8,0,5,75%,70%,58%,43%,207,213,190,190,153,153,50%,100%,41%,30%,115,97,46,38,24,33,71%,60%
Fourth,Roger Federer,6-4 7-6(7) 6-3,2008,m,Roger Federer,Tomas Berdych,SUI,CZE,63%,55%,11,7,1,4,75%,75%,74%,49%,205,215,189,200,160,160,43%,33%,36%,26%,105,85,45,32,17,27,50%,53%
Third,Roger Federer,6-7(5) 7-6(1) 5-7 6-1 10-8,2008,m,Roger Federer,Janko Tipsarevic,SUI,SRB,64%,52%,39,14,1,6,89%,71%,54%,57%,209,213,190,196,150,150,24%,100%,36%,24%,202,173,96,52,64,47,75%,55%
Second,Roger Federer,6-1 6-2 6-0,2008,m,Roger Federer,Fabrice Santoro,SUI,FRA,69%,65%,7,2,1,0,76%,44%,79%,38%,203,194,184,174,134,134,50%,0%,58%,23%,87,43,53,11,18,4,81%,50%
First,Roger Federer,6-0 6-3 6-0,2008,m,Roger Federer,Diego Hartfield,SUI,ARG,72%,63%,11,3,1,1,83%,51%,56%,26%,8,198,85,180,155,155,70%,0%,58%,25%,85,42,38,11,14,20,69%,50%
First,Roger Federer,6-1 7-6(4) 7-5,2009,m,Roger Federer,Andreas Seppi,SUI,ITA,59%,60%,9,1,5,5,76%,68%,57%,50%,203,198,190,182,156,142,30%,0%,41%,33%,122,102,45,28,43,45,72%,68%
First,Roger Federer,6-3 6-4 6-0,2004,m,Roger Federer,Alex Jr. Bogomolov,SUI,RUS,60%,67%,13,0,3,3,80%,65%,74%,33%,200,185,176,170,150,150,56%,-,46%,22%,90,59,42,9,25,22,83%,67%
quarter,Roger Federer,6-3 6-4 6-7(6) 6-3,2014,m,Roger Federer,Andy Murray,SUI,GBR,64%,61%,10,9,0,1,78%,67%,64%,49%,204,208,184,183,131,131,24%,50%,40%,27%,147,121,54,41,42,46,74%,63%
Fourth,Roger Federer,6-3 7-5 6-4,2014,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,57%,52%,7,8,1,1,88%,70%,69%,55%,202,224,184,191,146,146,43%,0%,38%,20%,100,72,43,29,21,28,83%,44%
Third,Roger Federer,6-2 6-2 6-3,2014,m,Roger Federer,Teimuraz Gabashvili,SUI,RUS,62%,69%,6,3,1,5,87%,60%,57%,36%,202,194,180,178,148,148,36%,0%,47%,25%,98,66,35,27,18,33,55%,37%
Second,Roger Federer,6-2 6-1 7-6(4),2014,m,Roger Federer,Blaz Kavcic,SUI,SLO,76%,62%,11,6,0,3,78%,52%,50%,47%,208,202,180,181,142,142,55%,50%,49%,29%,103,72,52,14,35,21,79%,31%
First,Roger Federer,6-4 6-4 6-2,2014,m,Roger Federer,James Duckworth,SUI,AUS,58%,52%,11,13,5,3,89%,75%,58%,43%,207,216,185,176,162,162,24%,0%,40%,24%,96,74,30,34,17,38,82%,56%
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,64%,52%,4,11,4,6,66%,73%,48%,45%,196,204,179,183,143,156,44%,32%,40%,41%,173,174,50,71,41,64,58%,72%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69%,60%,6,5,5,0,73%,71%,41%,48%,207,203,191,189,149,157,36%,30%,38%,37%,119,111,29,35,35,44,62%,65%
semi,Rafael Nadal,6-7(5) 6-2 7-6(5) 6-4,2012,m,Rafael Nadal,Roger Federer,ESP,SUI,77%,64%,4,11,1,5,69%,66%,63%,55%,194,207,172,185,137,154,38%,30%,38%,33%,146,130,36,46,34,63,33%,61%
semi,Andy Murray,6-4 6-7(5) 6-3 6-7(2) 6-2,2013,m,Andy Murray,Roger Federer,GBR,SUI,64%,61%,21,5,0,2,75%,73%,63%,42%,215,205,192,186,140,155,38%,33%,39%,29%,177,151,62,43,47,60,67%,66%
semi,Marat Safin,5-7 6-4 5-7 7-6(6) 9-7,2005,m,Marat Safin,Roger Federer,RUS,SUI,59%,57%,16,22,1,8,74%,82%,52%,51%,220,213,204,191,160,160,31%,29%,31%,35%,194,201,65,72,60,59,74%,76%
semi,Novak Djokovic,7-5 6-3 7-6(5),2008,m,Novak Djokovic,Roger Federer,SRB,SUI,68%,61%,13,10,6,2,78%,72%,42%,43%,208,209,191,191,155,155,36%,22%,39%,34%,118,104,50,38,32,32,79%,71%
semi,Rafael Nadal,7-6(4) 6-3 6-3,2014,m,Rafael Nadal,Roger Federer,ESP,SUI,65%,66%,3,8,1,1,73%,65%,73%,50%,198,203,175,181,152,152,29%,50%,40%,27%,105,86,28,34,25,50,30%,55%
